rPRS_homo_PRS,ePRS_homo_PRS,rPRS_hetero_PRS,ePRS_hetero_PRS
1.621226122,1.649786268,1.402560308,-0.411670923
1.033266155,2.606195831,1.450410733,0.150275208
1.040540418,2.353325905,1.443668843,-0.104285179
1.48389214,1.861734813,0.957449388,-0.086306315
1.433996699,2.857288073,1.632423294,0.628871835
1.028975501,-0.186426111,1.287905236,-0.368791414
1.233551552,1.395429791,1.449782284,0.765773626
1.52121049,1.317755771,1.51460024,-0.714210973
0.587421797,-0.571143649,1.266681083,1.08005336
1.363509163,3.569122642,1.987646007,1.512588136
1.874451134,3.633677949,1.131926472,2.828262033
1.135531736,0.038195935,1.53709934,1.750924347
1.337972057,0.518755528,1.550513016,1.494107728
1.174755591,2.074779279,1.480794944,1.51950947
1.293890994,1.116622448,1.798291045,0.894120975
1.495814959,0.511957239,1.90171361,1.833609638
2.115002909,2.272946472,1.326617066,0.143543999
1.686370953,4.738952171,1.694854353,0.982888423
1.422133289,1.733139448,1.532814082,0.633938682
0.872430446,1.176873089,1.913980596,-0.028901294
2.128466696,0.547942754,1.247890973,1.10213171
1.375248704,-0.193146664,1.28715628,-2.455859138
1.629104619,0.011851669,1.667972106,-1.285365425
1.160672001,0.060242337,1.050570609,0.964321719
1.731122996,2.44407,1.404855077,1.081697319
1.621095608,0.792016483,1.170104523,1.795688823
1.438644199,0.494874859,1.352654837,2.477439828
2.582391559,2.249420685,1.942121852,0.619921869
1.1717974,0.570020856,1.29250896,-0.340079942
1.609556958,1.657126888,1.611693081,-1.146059589
1.754789791,1.27560302,1.030653045,-0.187196926
1.222125878,0.077917443,1.583804303,-1.111314708
1.765680309,0.936222018,1.008825757,0.16318668
1.509359474,2.57628274,1.510182771,-1.206335496
1.165762459,0.994005643,1.061130362,-2.003248301
1.981871293,1.634632696,1.619818596,-0.814803319
1.073175624,2.005032129,1.555630437,0.785783611
2.314734029,0.648044849,1.701959084,-1.409665037
1.49004372,2.303465024,2.33557708,-0.186644134
1.52258493,1.637799647,1.839020742,-0.465384051
1.47112456,0.442794108,1.851491097,-0.261106022
1.208351519,0.976569855,1.092101656,0.519006458
1.728542866,2.197872791,1.940471384,0.975120375
1.662397567,0.717677359,1.411557163,-0.759779884
1.575840701,0.252034584,2.185789619,0.539807948
1.802504221,2.575610171,1.380696712,0.662603613
1.702775233,2.696742348,1.834990727,1.078447899
1.652866288,1.763877989,0.837028289,1.015071518
1.841186589,2.659821482,1.697988251,0.443794145
2.023354797,1.444780337,1.594832527,0.060242188
1.661368551,1.678700915,1.817354576,0.228876349
1.239542293,2.1502122,1.722218865,-0.94004077
1.888544323,0.833165573,1.062235101,-0.565732704
1.510044062,0.001682887,1.413783251,1.798936278
1.167818547,2.12394607,1.99191318,1.652328746
2.232400686,0.225674152,1.285445749,0.428040497
1.540155693,0.73697245,1.312406604,-0.57503501
2.342713194,1.862704125,1.700423251,-0.071034542
1.429695649,2.073016655,2.038481045,0.142322509
1.142235231,-0.023381419,1.426397937,1.303193195
1.069118653,1.554199287,1.363184349,1.05796317
1.235761831,0.394330402,1.635971663,1.564702095
1.520199964,0.556128389,1.19234387,0.234273327
1.354369458,0.449459419,1.156310598,-0.211170858
1.289410473,0.580373842,1.674996955,-0.110539066
0.965365903,-0.037871472,1.398435475,0.311101665
1.066656111,1.24445556,1.184096125,1.517344782
1.591647017,1.673969509,1.058060113,-0.335096587
1.756538432,0.849746445,1.825912981,0.868522543
1.52512023,2.186038317,1.709078793,0.827843785
1.438632654,1.692323917,1.546982852,-0.382746616
1.992700074,2.248768616,2.242589476,-0.77210003
1.490575337,0.066891528,0.988030286,-0.766695605
0.978901887,3.044435888,0.972768585,-0.152668623
1.283439506,1.82159602,2.088927811,-0.692400599
1.278977006,1.507479377,1.384377525,0.172749217
1.574904558,2.111984668,1.772610114,-0.942738293
1.011368614,0.635199144,1.293171718,2.568487866
1.925000081,1.56127281,1.074895576,0.552371583
1.252628176,2.33614886,1.839655775,-0.529027273
2.037702014,0.881079908,1.413245058,-0.20709444
1.651144895,2.651971996,1.323962428,-0.808489305
2.012912303,1.258459508,1.76037164,0.551981582
1.134345547,2.539066098,1.215271607,-0.298336037
1.542877259,1.585461523,1.374644897,-0.964904824
1.299507401,1.013688842,0.981695893,0.310155651
1.452799275,2.947292953,1.001845521,-0.178187825
1.861020192,1.690115568,1.419975578,-0.254926196
1.69975629,1.663865867,1.505215513,-1.134721024
1.582385353,0.871092883,1.629213351,1.309330955
2.005886932,1.073280474,1.853381365,-0.725836974
1.493275215,1.091802682,1.398939766,-0.107579628
1.431780822,1.108751069,1.47112186,-1.739823943
2.046095874,1.840777434,0.812519094,0.695466415
1.451756047,0.01069346,1.592958969,-0.758401748
0.850589056,2.278212486,1.280646781,-0.194135111
1.34126101,2.29968265,1.399467558,-1.418542876
1.609695409,1.865597314,1.226416632,1.952586309
0.931096059,0.152271623,1.331614611,1.083423071
1.473273555,3.509133376,1.396429339,-0.403303515
1.717822077,2.698724975,1.98553477,0.536249421
1.744663345,0.862161751,1.878287729,-0.291858293
1.415342813,1.480758415,1.187620337,2.279157049
1.169772026,1.403590042,1.972342699,-0.019035289
1.419258213,1.025041267,1.635080013,1.352603421
1.045240552,1.363788798,1.674128914,-1.404982978
1.638521515,1.288447451,2.060818971,-1.095029881
1.055356814,0.985694085,1.289193308,-0.306053013
1.500991663,0.870686289,2.000323256,0.470790114
1.758519364,0.447157533,1.794771201,0.765163504
1.263265556,0.635570244,1.175961673,-0.337018799
1.903921581,2.85183609,1.873237373,0.688269082
2.371249045,1.524923291,1.794729164,0.611323252
1.584849507,1.394727647,1.113069742,0.590653018
1.698641188,1.178945996,1.78651341,-0.076083062
1.16373811,2.469197395,1.911596156,0.396502946
1.253089208,1.810700177,1.321717754,0.716805568
1.711087997,2.016554786,1.863289497,1.639246667
0.919797981,-1.137494552,1.422665471,-0.132956439
1.481514547,1.143082272,1.854049653,-0.392447631
1.629751299,1.635331195,1.453295716,-0.529635164
1.373908439,0.884333604,2.425245449,1.193528792
1.394822693,2.530420271,1.302185802,1.31099291
1.750994135,1.369586872,2.414586092,-0.33519946
1.397218196,1.343617758,1.663133135,1.682338317
1.359187715,1.989474576,1.717628376,-1.379804545
1.838467986,2.807677163,1.355920844,-0.49031488
0.838035609,-0.673208782,1.815322611,-0.677425252
1.635065806,2.346923185,2.08807361,-0.149725599
1.467341192,0.856835692,1.710271751,0.085599356
1.711765324,2.600688467,0.74713442,-0.47640536
1.493389954,0.327582788,1.602370627,-0.652902914
1.699733985,2.068026144,1.39459113,0.02453827
1.31648417,1.824462884,1.498453572,0.985325464
1.972221331,1.494831491,1.930132239,-0.016054068
1.719270345,1.25711358,2.028010025,-0.569063499
1.12185667,0.15077752,1.688711485,0.63920916
1.530850528,1.9160539,1.560394973,0.989195508
1.769036834,0.790040114,1.22145587,-1.059018796
1.216723685,2.348749462,1.176758923,0.053537158
1.211906828,0.61891153,1.357976004,-0.792120281
1.975256991,1.245308819,1.104451755,1.751165937
1.319154118,2.752520574,1.783995866,0.172844464
1.28842994,1.843827615,1.184811568,-0.666645573
1.475416833,0.685111978,2.159605799,0.18296114
2.148907085,3.673387112,1.828219171,0.425101639
1.576811768,1.633112265,1.40277812,0.90945749
1.542833953,1.63522387,1.319374547,0.155965552
1.757771482,2.143952017,1.553647777,0.187523716
1.449422738,0.71090835,1.62331165,0.147251181
1.544390897,0.365750931,1.903581925,-1.679651981
1.938217579,1.921264825,0.389982955,0.77386078
1.687492354,-0.773987329,1.05836534,1.142612172
1.163613388,1.848459262,1.849005861,0.44261657
2.072974371,0.873173626,2.040231449,0.810495377
0.824682561,1.376037751,1.98219721,2.197007382
1.410214212,0.888856716,1.576612126,1.022841869
1.238925569,1.302062655,1.46517856,0.148908832
1.713442153,2.290764585,2.124352435,-0.442568601
1.26758911,1.055357216,1.051448325,2.176557398
1.785834712,0.714486555,1.243380409,0.521698125
1.602359244,2.032507856,1.281548151,1.371115639
1.678569582,1.339407991,1.876659913,-1.878055348
2.14700267,1.109815191,1.658516536,0.645722229
1.700588525,1.499260216,1.268000702,0.852545312
1.982777315,0.578558242,1.621045003,0.957960593
2.012205005,2.460162859,1.771633657,-0.450104241
1.513558094,0.915493233,1.416745916,-1.111094731
1.611758174,2.277784807,0.952105343,0.071187941
1.462590767,2.970821085,1.791186961,1.236117269
2.286527405,3.007982861,1.57134331,0.040048893
1.451378051,1.408904617,1.388498447,0.636148839
1.431962953,2.484009491,1.692843608,-1.003233836
1.727041742,2.14176318,2.212407105,0.053353885
2.20042365,0.214716033,1.171959206,1.528885989
1.027381717,2.402907281,1.663456422,0.361719158
1.567263683,1.460408277,1.591411126,1.114408773
1.198736318,0.20857349,1.648218356,0.548146954
1.902212741,0.471818582,2.016590376,0.605254704
1.4943008,2.226263116,1.372622134,1.868007338
1.855912136,1.134068802,1.229576858,0.413066619
1.605115199,0.688313633,2.188582445,1.253734582
1.778581391,1.785722899,1.76388686,1.420817019
1.440187815,2.327142033,2.166506072,-1.170160766
1.938932868,-0.22993185,1.3634902,-1.262471797
2.118905137,1.224294891,2.207635162,0.984167947
1.588050347,1.117157291,1.021406331,1.602351132
1.75278524,2.368951857,1.764616932,0.152704336
1.252105347,1.097509045,1.867348526,1.221137857
1.594211895,1.254765389,1.799908418,-0.218610916
1.657010244,2.868409856,1.137917517,1.146591558
1.616303024,0.706552148,1.606330891,0.577191984
1.588156706,2.944714218,1.672638275,-2.138176038
1.356143047,0.710082892,1.771607233,1.0841334
1.714119464,1.982355219,2.11981562,0.110406138
0.797972021,2.853080503,1.739989638,-1.733254128
1.470884212,1.187891656,2.535536472,1.886920216
1.229233777,1.456025939,1.818663708,-1.539595903
1.317992812,2.768994176,2.018088943,1.071756025
1.199270177,2.460618797,1.33259196,-0.152605504
