rPRS_gamma_05,ePRS_gamma_05,rPRS_gamma_1,ePRS_gamma_1,rPRS_gamma_15,ePRS_gamma_15
2.323728344,-28.38149734,1.193908058,-61.97383872,1.671492572,-93.81799999
1.600889743,-32.60657257,1.611381032,-65.37310745,1.313188123,-103.1332846
1.378080159,-34.97024531,1.998028775,-68.68989227,1.724575738,-99.74411793
1.484900748,-39.10395581,1.717807784,-76.60033932,1.808584684,-113.2321782
0.918462034,-38.52190319,1.24906074,-81.37775354,1.041689454,-124.0047304
1.87171649,-35.30932248,2.553717709,-67.14403363,1.943839999,-101.8393563
1.477255838,-42.81447425,1.100985954,-86.32044114,1.446314287,-123.8081913
1.858936538,36.94578939,1.181013542,62.75816026,1.73387156,100.7646574
1.898653358,-39.68100277,1.183655968,-76.21437977,1.976151086,-117.9307092
1.169340097,-33.89267988,0.903258282,-71.42397831,0.782268177,-106.551409
1.500779208,-40.62959348,1.97416025,-77.97214186,1.889632249,-122.0651308
1.487029199,-34.83427363,0.771977473,-66.6896524,2.021059369,-101.315536
1.570335413,-34.3770571,1.972814201,-73.3898402,1.713829661,-108.3793933
1.756593341,-37.83874569,1.87039241,-74.75436425,2.480943164,-111.4092151
1.785202179,-43.04668022,1.991814195,-84.82611688,1.486012971,-124.0663043
1.089190904,-26.52269537,0.663676041,-62.79438905,0.852266189,-93.08242982
1.69189939,-31.92357573,1.622620126,-70.5246286,1.464259301,-108.5167228
1.423806962,-43.01968984,1.144544624,-81.1346508,1.210600577,-125.0509762
1.519962177,-30.1274544,1.448172625,-60.33449636,1.232334088,-95.91789484
1.064820406,-32.73351105,2.039421673,-65.39752343,1.491635014,-98.04127301
1.519433429,-34.38425617,1.413627064,-68.54507794,1.360124607,-108.6540176
1.242597792,-27.28190894,1.058651519,-62.67808436,0.946725266,-91.45237194
1.987369347,-43.26691618,2.110132304,-83.82000921,1.939817396,-124.7539275
1.418487217,-43.04329958,0.512109422,-80.58327071,0.717601903,-124.4231795
1.193620792,-34.87954232,1.141370348,-68.75596465,1.124861582,-107.6822413
1.433045855,-40.20331338,1.540177003,-82.07999696,1.786495995,-119.5983955
1.784215304,-35.36082695,1.516170285,-73.8762793,1.876479864,-113.2420093
1.548599579,-37.89445172,0.890092452,-73.90436742,1.301791263,-119.7292846
1.65138886,-36.51716963,1.454805069,-77.61133184,1.672812652,-115.2978356
1.809624363,-34.98217853,1.306111682,-72.11144751,1.52213841,-105.6904972
1.581656468,-34.28389731,1.76700802,-58.06314354,1.151413959,-88.80766568
1.372068662,38.52167421,1.430815818,74.10696864,0.213859199,115.6827304
1.371656752,-34.13494486,1.598378353,-70.13531558,1.120538557,-105.8703239
1.433306234,34.79110123,1.880353823,69.86286973,2.234391927,99.76741766
1.569989911,-32.86223371,1.680351056,-66.5905156,1.951609728,-98.57305233
1.333263386,31.68181266,1.0455504,62.83941331,1.167276475,93.96514448
1.555111276,-33.76044683,0.841520848,-74.47733291,1.304173418,-109.6611536
1.604846106,-36.04913455,1.809035564,-73.74744818,2.16214104,-115.2212087
1.755165653,-27.12918997,2.387671908,-62.28023778,1.93881224,-92.94119086
1.333473706,39.44487388,1.14670314,83.17763677,1.160358806,124.273806
0.969887489,-30.9230237,1.477954196,-65.40505637,1.949495534,-99.74383397
1.769257264,-35.73925314,1.561173526,-74.1704619,2.220091868,-112.7698615
1.494129961,-39.26237184,1.189154812,-73.26886671,1.042007112,-113.3682283
1.107093379,-34.978607,1.471390817,-72.26967721,1.69091577,-110.5392592
1.496268875,40.49500174,1.955691608,70.42204345,2.191680119,110.9765516
2.067948142,34.38432683,1.133360113,62.94840377,1.307194082,96.77399158
1.502773132,-38.06024145,1.339603799,-69.87572537,1.910746805,-110.3354135
1.703072582,-39.03022611,1.492180616,-71.2760746,2.640522409,-105.4033826
1.895475279,-36.31029864,1.848727544,-67.56269489,2.25779367,-103.5491341
1.030452442,40.61850706,2.196296228,78.06942924,1.093422605,113.8454293
1.895627476,33.62308375,2.307888429,64.62637622,2.149159051,90.69508659
2.219115635,-29.29476842,1.866776026,-56.05199651,1.210396468,-88.39867263
1.967493543,-34.14358148,1.752698117,-73.14003589,1.183652161,-106.0439354
1.197730934,-30.37290354,1.254204764,-65.45423071,1.37868991,-92.69963012
1.843571707,-33.14775806,1.184653123,-72.64265683,2.085171107,-102.0028188
1.835854315,-39.16827519,1.975436439,-88.23922591,0.918292819,-119.4674261
1.79175576,-31.57577884,1.756476514,-58.5540874,1.86038828,-88.09228824
1.340104552,-30.60794195,1.389299033,-57.8203826,1.858101435,-85.57082913
1.147688314,31.61350426,1.008399998,60.88584525,0.914986994,88.06151325
1.069947928,-32.20809965,0.906662291,-64.05288387,0.791211975,-95.30729386
1.658387823,-44.63274843,1.200651387,-89.77556093,1.438651679,-135.6202635
0.992497188,-31.47421559,1.138213346,-66.05184285,1.275688639,-98.88167265
1.470634624,-43.19478748,1.3325537,-89.02991771,0.910830299,-132.0872781
2.09372781,-34.94042859,2.04416656,-75.86645943,1.623541035,-112.9123159
1.483804449,38.98841877,1.166479344,72.72503019,1.49961394,117.9676822
0.805072374,-35.08333281,1.820634626,-67.4069413,1.494074114,-105.0884253
1.008792077,-23.73672031,0.375531609,-62.74290288,1.086421527,-89.53175293
1.579538792,-24.88645034,2.091099746,-62.98913561,2.171248725,-92.34654478
1.508164337,-32.39350536,1.607291629,-70.79895339,1.505535314,-107.1960552
1.145543351,-38.8043641,1.719708029,-82.22442526,1.296300804,-120.491777
1.448080767,42.36824217,1.736502964,75.32843123,1.420115098,118.7682565
1.722242191,-35.50137707,0.624939221,-78.75810902,0.638310096,-118.1753443
1.256051002,-31.13115054,1.108413166,-60.72733736,1.642452306,-92.44429332
1.876153933,-36.93252075,2.237215556,-77.77351894,1.427888781,-120.0327853
1.711532811,38.04221219,2.142628783,78.75522938,2.207494782,116.8739737
2.132998935,-36.77213175,3.361499337,-69.26919691,3.724865149,-107.5903036
2.027949243,-35.7889547,0.828323251,-71.60734522,0.694354568,-110.5771069
